,0
TCGA-AB-2806-03B-01W-0728-08,1536
128,0
AML,1537
Clock_SBS5,1538
4,1
132,2
20,3
100,4
52,5
116,6
180,7
8,8
216,9
104,10
232,11
140,12
28,13
92,14
124,15
188,16
97,17
161,18
133,19
197,20
21,21
85,22
149,23
37,24
181,25
245,26
137,27
25,28
141,29
29,30
93,31
157,32
173,33
61,34
189,35
253,36
130,37
194,38
162,39
6,40
70,41
134,42
22,43
86,44
214,45
38,46
102,47
166,48
118,49
182,50
74,51
138,52
26,53
90,54
170,55
122,56
186,57
78,58
30,59
222,60
174,61
190,62
195,63
115,64
179,65
7,66
71,67
135,68
199,69
23,70
151,71
39,72
231,73
55,74
119,75
183,76
247,77
11,78
203,79
219,80
123,81
79,82
143,83
207,84
31,85
223,86
63,87
127,88
191,89
255,90
256,91
400,92
288,93
416,94
304,95
432,96
420,97
436,98
280,99
440,100
268,101
284,102
412,103
273,104
337,105
401,106
369,107
325,108
389,109
277,110
405,111
469,112
373,113
437,114
281,115
301,116
445,117
274,118
306,119
326,120
278,121
342,122
470,123
294,124
422,125
438,126
282,127
426,128
442,129
446,130
419,131
343,132
407,133
283,134
411,135
443,136
399,137
576,138
640,139
592,140
656,141
544,142
608,143
672,144
736,145
688,146
516,147
580,148
532,149
724,150
548,151
612,152
676,153
740,154
628,155
692,156
520,157
584,158
648,159
712,160
536,161
600,162
664,163
728,164
616,165
680,166
744,167
568,168
632,169
696,170
760,171
652,172
604,173
732,174
556,175
620,176
513,177
577,178
641,179
705,180
593,181
609,182
673,183
737,184
625,185
689,186
581,187
645,188
533,189
597,190
725,191
549,192
677,193
629,194
693,195
757,196
521,197
649,198
713,199
537,200
729,201
617,202
569,203
697,204
589,205
605,206
733,207
557,208
621,209
573,210
701,211
514,212
578,213
642,214
722,215
546,216
610,217
738,218
626,219
518,220
534,221
598,222
662,223
550,224
614,225
678,226
566,227
630,228
586,229
650,230
714,231
538,232
602,233
666,234
730,235
554,236
682,237
746,238
570,239
698,240
762,241
526,242
670,243
734,244
558,245
622,246
686,247
579,248
643,249
531,250
595,251
723,252
611,253
675,254
583,255
647,256
535,257
599,258
615,259
679,260
523,261
587,262
651,263
715,264
539,265
603,266
731,267
555,268
619,269
683,270
747,271
571,272
635,273
699,274
527,275
543,276
607,277
559,278
751,279
928,280
944,281
1008,282
804,283
932,284
820,285
1016,286
1004,287
956,288
1020,289
977,290
801,291
965,292
789,293
853,294
805,295
869,296
933,297
997,298
885,299
949,300
809,301
941,302
978,303
982,304
870,305
934,306
886,307
1014,308
906,309
938,310
899,311
915,312
931,313
791,314
855,315
871,316
1015,317
939,318
955,319
1088,320
1216,321
1056,322
1156,323
1220,324
1060,325
1188,326
1268,327
1032,328
1112,329
1192,330
1144,331
1116,332
1196,333
1212,334
1089,335
1105,336
1233,337
1185,338
1201,339
1093,340
1221,341
1045,342
1109,343
1173,344
1237,345
1061,346
1189,347
1253,348
1141,349
1205,350
1269,351
1033,352
1097,353
1113,354
1193,355
1165,356
1053,357
1117,358
1245,359
1069,360
1197,361
1149,362
1213,363
1186,364
1250,365
1222,366
1046,367
1110,368
1126,369
1190,370
1226,371
1114,372
1178,373
1258,374
1146,375
1043,376
1107,377
1123,378
