,0,1,2
TCGA-AB-2806-03B-01W-0728-08,1536,[128],"[1537, 1538]"
TCGA-AB-2807-03B-01W-0728-08,1539,[16],"[1537, 1538]"
TCGA-AB-2808-03B-01W-0728-08,1540,[112],"[1537, 1538]"
TCGA-AB-2826-03B-01W-0728-08,1541,[64],"[1537, 1538]"
TCGA-AB-2828-03B-01W-0728-08,1542,[16],"[1537, 1538]"
TCGA-AB-2833-03B-01W-0728-08,1543,[16],"[1537, 1538]"
TCGA-AB-2849-03B-01W-0728-08,1544,[64],"[1537, 1538]"
TCGA-AB-2854-03B-01W-0728-08,1545,[144],"[1537, 1538]"
TCGA-AB-2877-03A-01W-0732-08,1546,[184],"[1537, 1547]"
TCGA-AB-2918-03A-01W-0745-08,1548,[84],"[1537, 1549]"
TCGA-AB-2936-03A-01W-0745-08,1550,[136],"[1537, 1551]"
TCGA-AB-2939-03A-01W-0745-08,1552,[8],"[1537, 1553]"
TCGA-AB-2943-03A-01W-0745-08,1554,[56],"[1537, 1547]"
TCGA-AB-2949-03A-01W-0733-08,1555,[132],"[1537, 1538]"
TCGA-AB-2950-03A-01W-0733-08,1556,[224],"[1537, 1538]"
TCGA-AB-2959-03A-01W-0733-08,1557,[85],"[1537, 1538]"
TCGA-OR-A5J1-01A-11D-A29I-10,1558,[207],"[1559, 1547]"
TCGA-OR-A5J2-01A-11D-A29I-10,1560,[0],"[1559, 1538]"
TCGA-OR-A5J4-01A-11D-A29I-10,1561,[176],"[1559, 1538]"
TCGA-OR-A5J5-01A-11D-A29I-10,1562,[20],"[1559, 1563]"
TCGA-OR-A5J6-01A-31D-A29I-10,1564,[136],"[1559, 1538]"
TCGA-OR-A5J7-01A-11D-A29I-10,1565,[188],"[1559, 1538]"
TCGA-OR-A5J8-01A-11D-A29I-10,1566,[0],"[1559, 1547]"
TCGA-OR-A5J9-01A-11D-A29I-10,1567,[20],"[1559, 1538]"
TCGA-OR-A5JA-01A-11D-A29I-10,1568,[0],"[1559, 1547]"
TCGA-OR-A5JB-01A-11D-A29I-10,1569,[0],"[1559, 1549]"
